ID,ExperimentaUnitTreatment_Series,Code,Type,Description,Container,Institution,Preservative,Weight(g),PreservativeVolume(mL),Notes,Attachment,Status,Series,Experiment_ExperimentalUnit_Serie,ExperimentalUnit_Series,Position,SeriesDayCount,SeriesDate,SeriesLetter,ExperimentalUnitSlaughteringDayCount_Series,Experiment_code,Experiment_name,BacteriaDescription,BacteriaID,pH,Individual
C001aE,TC1,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,3.88,19.0,,,Shipped NMBU,C001a,C,C001,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C001
C002aE,TC1,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,8.33,42.0,,,Shipped NMBU,C002a,C,C002,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C002
C003aE,TC1,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.48,24.0,,,Shipped NMBU,C003a,C,C003,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C003
C004aE,TC2,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,5.23,26.0,,,Shipped NMBU,C004a,C,C004,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C004
C005aE,TC2,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,8.18,41.0,,,Shipped NMBU,C005a,C,C005,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C005
C006aE,TC2,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,5.62,28.0,,,Shipped NMBU,C006a,C,C006,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C006
C007aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.81,4.0,,,Shipped NMBU,C007a,C,C007,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C007
C008aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,7.91,40.0,,,Shipped NMBU,C008a,C,C008,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C008
C009aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,2.12,11.0,,,Shipped NMBU,C009a,C,C009,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C009
C010aE,TC4,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,2.09,10.0,,,Shipped NMBU,C010a,C,C010,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C010
C011aE,TC4,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.00,0.0,,,Shipped NMBU,C011a,C,C011,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C011
C012aE,TC4,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.02,0.1,,,Shipped NMBU,C012a,C,C012,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C012
C013aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.02,0.1,,,Shipped NMBU,C013a,C,C013,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C013
C014aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.02,0.1,,,Shipped NMBU,C014a,C,C014,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C014
C015aE,TC3,E,Caecum,Digesta,50 mL tube,NMBU,Cryoprotective solution ,0.02,0.1,,,Shipped NMBU,C015a,C,C015,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C015
C001aG,TC1,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C001a,C,C001,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C001
C002aG,TC1,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C002a,C,C002,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C002
C003aG,TC1,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C003a,C,C003,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C003
C004aG,TC2,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C004a,C,C004,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C004
C005aG,TC2,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C005a,C,C005,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C005
C006aG,TC2,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C006a,C,C006,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C006
C007aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C007a,C,C007,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C007
C008aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C008a,C,C008,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C008
C009aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C009a,C,C009,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C009
C010aG,TC4,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C010a,C,C010,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C010
C011aG,TC4,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C011a,C,C011,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C011
C012aG,TC4,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C012a,C,C012,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C012
C013aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C013a,C,C013,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C013
C014aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C014a,C,C014,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C014
C015aG,TC3,G,Caecum S2,Mucosa,2 mL tube,UCPH,,,,,,,C015a,C,C015,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C015
