"","type","category","contrast","id","name","formula","flag","log2FoldChange","padj","label","bar_start","bar_stop","bar_label","bar_y"
"29","all","type","digesta_v_tissue","RP_pos_171_06535a2_486",NA,NA,"good_msms",-1.79083570681243,0.00653553559167444,"RP_pos_171_06535a2_486
not annotated","digesta","tissue","-1.79 **",16.7267648426606
"30","all","type","digesta_v_tissue","RP_pos_176_07114a4_861","Indoleacetic acid","C10H9NO2","curated",2.26779521477935,0.00109439018491734,"RP_pos_176_07114a4_861
Indoleacetic acid","digesta","tissue","2.27 **",18.1232612501944
"31","all","type","digesta_v_tissue","RP_pos_177_10294a1_389","Serotonin ","C10H12N2O","curated",5.08934555858174,4.30675327100141e-06,"RP_pos_177_10294a1_389
Serotonin ","digesta","tissue","5.09 ***",21.5674453750373
"32","all","type","digesta_v_tissue","RP_pos_178_13374a2_462",NA,NA,"good_msms",1.95941463583742,0.0179371606911018,"RP_pos_178_13374a2_462
not annotated","digesta","tissue","1.96 *",19.3909774697903
"33","all","type","digesta_v_tissue","RP_pos_179_10658a4_393",NA,NA,"good_msms",-1.22643893158334,0.0133473208222212,"RP_pos_179_10658a4_393
not annotated","digesta","tissue","-1.23 *",19.6009073957622
"34","all","type","digesta_v_tissue","RP_pos_180_06575a3_178","Hippuric acid","C9H9NO3","good_msms",6.9369763400432,7.02763445659834e-08,"RP_pos_180_06575a3_178
Hippuric acid","digesta","tissue","6.94 ***",22.4118099527749
"35","all","type","digesta_v_tissue","RP_pos_180_13811a2_358",NA,NA,"good_msms",-1.44048230161902,0.00389256129196016,"RP_pos_180_13811a2_358
not annotated","digesta","tissue","-1.44 **",12.38882060654
"36","all","type","digesta_v_tissue","RP_pos_185_11772a6_696",NA,NA,"good_msms",-1.70738941818384,0.000208165386938554,"RP_pos_185_11772a6_696
not annotated","digesta","tissue","-1.71 ***",17.9751116051646
"37","all","type","digesta_v_tissue","RP_pos_185_12808a3_441",NA,NA,"good_msms",-1.67064619955418,0.00131157704441078,"RP_pos_185_12808a3_441
not annotated","digesta","tissue","-1.67 **",17.6936062605365
"38","all","type","digesta_v_tissue","RP_pos_188_12788a2_158",NA,NA,"good_msms",-1.22394512291939,0.00161984486664676,"RP_pos_188_12788a2_158
not annotated","digesta","tissue","-1.22 **",14.8889045445157
