"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"TRNAG-UCC",0,0,0,0,0,0,1,0,0
"DPP9",674,496,345,499,269,264,451,656,766
"DPP9-AS1",0,0,5,11,0,0,0,0,0
"MYDGF",1277,1533,1904,1094,1649,1387,1920,1413,2742
"TNFAIP8L1",11,38,21,42,23,113,41,31,78
"SEMA6B",30,36,36,20,0,12,18,53,50
"LOC110259361",0,0,0,11,0,0,0,0,0
"LRG1",49,17,13,15,25,33,18,14,21
"PLIN5",0,5,10,0,0,65,1,0,25
"PLIN4",66,39,39,38,53,52,29,149,73
"HDGFL2",417,364,389,259,230,91,224,553,398
"UBXN6",551,520,975,581,372,488,535,839,1021
"CHAF1A",126,79,136,38,58,22,78,81,103
"SH3GL1",1265,728,793,1238,880,679,1438,2946,2402
"LOC106509455",115,113,129,117,49,52,70,54,66
"MPND",592,704,844,589,293,414,484,1257,970
"STAP2",1125,1295,2222,1942,949,793,1894,2690,3001
"FSD1",88,44,62,18,0,47,67,18,23
"TMIGD2",27,10,45,0,0,32,24,28,20
"SHD",7,0,13,11,0,0,3,11,53
"CCDC94",93,108,200,124,143,89,199,272,247
"EBI3",15,46,52,67,30,56,71,43,99
"ANKRD24",112,209,273,99,156,59,310,256,214
"SIRT6",380,320,257,377,321,158,564,639,920
"CREB3L3",26,57,100,0,29,0,41,23,21
"MAP2K2",6880,5646,5487,8144,6308,5738,11318,14769,16288
"LOC110259362",0,0,0,0,0,0,0,0,0
"ZBTB7A",976,696,733,664,854,434,1313,1554,2420
"LOC110259661",0,0,0,0,0,0,0,0,0
"PIAS4",265,207,219,213,164,163,235,440,474
"EEF2",15535,13797,16934,15515,10720,8002,18351,40870,21784
"DAPK3",754,654,668,379,313,211,622,1072,1306
"NMRK2",7,0,0,0,0,0,0,0,0
"ATCAY",3,24,25,0,39,25,11,0,16
"LOC106509459",0,0,0,0,0,0,2,0,0
"ZFR2",6,2,20,19,0,14,5,0,34
"MATK",116,61,193,164,38,160,108,220,221
"RAX2",14,20,4,0,0,50,11,8,14
"MRPL54",324,234,335,196,241,241,270,365,651
"APBA3",276,246,258,231,89,89,258,454,539
"TJP3",1403,1181,1335,753,641,480,1100,1873,2486
"PIP5K1C",193,117,169,181,59,98,72,249,305
"CACTIN",194,191,110,109,138,55,202,324,257
"TBXA2R",12,6,45,0,14,0,13,36,28
"GIPC3",3,6,30,24,29,36,8,37,12
"HMG20B",1567,1042,622,1169,766,1080,1057,2139,2429
"MFSD12",1779,463,312,984,343,328,705,1357,1570
"C2H19orf71",0,0,0,0,0,0,0,0,0
"FZR1",927,725,820,671,477,315,778,1214,1376
"DOHH",84,78,121,36,88,45,90,99,110
"SMIM24",83,117,118,63,16,0,51,40,65
"LOC102159087",98,245,267,338,168,184,178,181,411
"NFIC",194,265,244,205,311,466,300,313,301
"CELF5",9,5,20,26,0,47,5,0,40
"LOC110259366",0,4,0,0,0,0,0,0,0
"NCLN",364,341,460,317,404,332,439,529,928
"S1PR4",0,9,44,16,32,24,15,9,44
"GNA15",38,61,114,95,20,189,117,90,175
"GNA11",258,153,266,56,140,124,203,437,532
"LOC110259368",90,84,188,143,176,14,111,136,227
"AES",2922,3028,3545,3236,3168,2527,3309,4117,7688
"TLE2",131,202,141,96,119,74,180,279,227
"TLE6",45,25,7,67,0,0,17,42,68
"LOC110259369",0,0,1,0,0,0,0,1,0
"LOC110259662",0,3,0,0,0,0,2,0,11
"LOC110259370",84,163,98,31,116,71,72,85,175
"LOC100516355",39,81,41,57,12,96,48,44,131
"LOC100737823",28,33,16,13,44,23,51,43,42
"LOC110259371",79,139,451,205,62,272,179,44,70
"ZNF554",9,15,9,0,31,119,18,26,25
"THOP1",149,133,120,49,63,23,128,125,67
"SGTA",931,692,734,684,641,557,872,1409,1665
"SLC39A3",95,68,68,23,38,56,71,62,157
"DIRAS1",0,6,7,0,0,0,2,0,0
"GNG7",63,55,115,35,112,87,94,98,205
"GADD45B",484,497,502,653,488,179,481,1211,486
"LMNB2",310,415,372,129,205,219,298,402,620
"TIMM13",723,776,708,308,681,535,599,651,1224
"TMPRSS9",0,0,0,0,0,0,0,0,0
"LOC102157806",0,12,7,27,3,27,0,5,10
"SPPL2B",680,614,574,585,558,178,292,776,1522
"LSM7",746,713,529,564,418,432,703,975,969
"LINGO3",0,0,0,0,0,0,0,0,0
"C2H19orf35",0,0,1,0,0,14,1,0,0
"OAZ1",5386,6519,8731,7159,4661,4323,6174,10308,11074
"DOT1L",898,451,387,614,390,302,584,998,1187
"PLEKHJ1",1304,1428,1395,1073,927,732,1512,2078,2235
"SF3A2",392,181,326,379,103,105,324,374,605
"AMH",23,21,16,0,1,47,7,13,60
"JSRP1",0,0,3,11,0,0,3,0,0
"AP3D1",1833,1162,1298,1020,779,723,1495,2234,2511
"IZUMO4",12,58,59,0,0,20,16,33,54
"MOB3A",196,253,404,348,163,149,347,498,439
"MKNK2",945,652,672,581,619,292,798,1755,1447
"BTBD2",578,723,931,564,506,372,627,1096,1367
"CSNK1G2",994,952,924,1073,914,698,807,2105,2265
"SCAMP4",132,131,259,231,49,72,174,366,465
"ADAT3",5,19,7,0,0,3,13,13,50
"LOC110259374",461,625,1161,889,335,398,441,984,1020
"ABHD17A",3495,2996,3526,4064,2309,1918,2968,5960,8985
"LOC110259663",0,0,0,0,0,0,0,0,0
"KLF16",251,419,496,323,352,127,310,502,934
"REXO1",354,299,318,271,136,195,266,598,996
"ATP8B3",38,33,59,14,21,31,11,37,39
"ONECUT3",0,0,0,0,0,0,0,0,0
"TCF3",253,243,334,95,144,160,262,352,303
"LOC100524239",0,0,0,0,0,0,0,0,0
"MBD3",309,360,685,304,371,418,501,871,873
"MEX3D",532,859,797,900,548,304,558,728,1048
"PLK5",0,16,6,0,0,0,0,14,0
"ADAMTSL5",5,10,33,93,0,35,25,45,94
"PCSK4",19,0,13,0,0,0,6,17,33
"REEP6",38,4,31,12,0,10,21,35,27
"C2H19orf25",636,518,699,684,404,294,404,1397,1367
"APC2",15,58,22,40,0,29,28,42,32
"LOC110259375",40,28,20,0,0,39,17,5,28
"RPS15",40850,64655,79610,61089,50533,76429,50983,74413,82366
"DAZAP1",1652,1685,3689,2804,1582,1574,1942,1954,2244
"GAMT",134,141,115,128,136,108,87,289,266
"NDUFS7",1103,1090,1349,920,1232,851,989,1456,2812
"TRNAN-GUU",0,0,0,0,0,0,0,0,0
"TRNAF-GAA_2",0,0,0,0,0,0,0,0,0
"LOC100511862",981,660,555,564,534,273,566,1001,1214
"EFNA2",10,5,4,33,22,27,9,38,0
"CIRBP",1130,1364,1608,765,1184,522,830,1489,1465
"C2H19orf24",0,0,0,0,0,0,0,0,0
"MIDN",1987,1712,2032,3541,2182,980,3036,4435,6425
"ATP5D",4646,4190,4368,4545,5088,2805,3558,6512,8289
"CBARP",6,0,15,35,52,0,10,15,5
"LOC110259376",0,0,0,0,0,0,0,0,0
"STK11",1073,1074,870,923,763,555,963,1867,1481
"SBNO2",815,520,576,447,939,274,1827,1299,1705
"GPX4",3291,3863,3570,2710,4119,3159,3099,4110,6678
"POLR2E",1644,1976,1996,1122,2065,1158,2055,2773,3398
"ARHGAP45",126,82,302,148,120,77,196,223,324
"ABCA7",212,273,346,238,226,33,123,216,473
"CNN2",668,1021,1662,714,1037,742,1070,1133,1675
"TMEM259",1211,1004,966,903,601,750,1026,2674,2191
"GRIN3B",0,7,20,0,37,15,17,30,51
"WDR18",255,155,305,226,136,156,285,302,402
"ARID3A",399,280,418,492,379,453,573,579,973
"LOC102160393",0,3,3,0,0,13,0,0,0
"KISS1R",0,0,0,0,0,0,0,0,16
"R3HDM4",2503,2621,2253,2482,2135,1099,3029,4826,5463
"MED16",114,156,190,62,139,106,138,177,252
"CFD",18294,26892,28036,36810,11988,17457,25800,37876,49690
"ELANE",0,0,0,0,0,0,0,0,0
"PRTN3",0,0,1,0,0,0,3,0,0
"AZU1",0,0,0,0,0,0,0,0,0
"PLPPR3",7,25,4,10,0,0,15,9,17
"PTBP1",987,785,796,453,768,393,1205,1463,1381
"LOC102159224",38,42,51,14,17,46,40,76,58
"LOC102159383",15,7,24,5,0,8,21,27,9
"LOC106509468",11,16,24,16,15,8,12,0,38
"MISP",15234,15599,25472,30962,11132,7425,18126,43125,44200
"PALM",865,476,570,1213,446,371,774,1750,1793
"PRSS57",0,0,1,0,0,0,1,6,3
"FSTL3",55,29,17,34,17,23,22,107,62
"RNF126",591,656,384,455,288,325,426,941,1227
"FGF22",1,7,0,10,24,0,9,14,13
"POLRMT",276,234,173,94,133,142,185,376,376
"HCN2",353,248,364,814,159,103,341,1437,1237
"BSG",30457,21678,34894,51033,15904,31895,28458,69125,77392
"GZMM",17,13,36,0,0,30,18,72,19
"CDC34",3163,3178,2582,5774,1749,2081,2928,10115,8051
"TPGS1",77,149,153,72,59,21,149,273,366
"MADCAM1",60,69,99,68,30,40,137,85,142
"ODF3L2",0,0,0,0,0,0,0,0,7
"SHC2",48,59,80,126,58,22,54,39,119
"C2CD4C",0,0,0,0,0,0,3,0,15
"THEG",0,0,0,0,0,0,0,3,0
"MIER2",143,124,80,112,57,23,136,149,213
"PLPP2",2217,3568,4019,3085,1659,1021,2485,4898,5064
"LOC100517809",850,657,433,2339,187,706,337,3070,1783
"LOC102162368",0,2,4,0,0,0,0,0,14
"FLT4",165,86,128,36,116,118,114,192,106
"SCGB3A1",34,79,41,22,28,35,16,85,49
"CNOT6",270,190,142,221,157,249,143,135,449
"LOC102163100",3,0,2,0,0,22,4,2,0
"GFPT2",46,22,23,56,50,27,42,52,110
"MAPK9",336,212,338,322,265,93,308,261,569
"RASGEF1C",0,9,14,0,0,10,3,11,0
"RNF130",378,337,550,355,415,372,396,439,874
"LOC102166382",7,1,6,13,14,0,4,0,3
"TBC1D9B",344,324,646,424,283,139,491,951,877
"MRNIP",42,60,33,32,75,14,49,93,110
"SQSTM1",4269,3674,3448,2598,2158,1855,4048,8934,7760
"LOC106507307",0,7,4,0,0,0,2,2,0
"MGAT4B",2117,2108,2293,2524,1374,1121,2207,5116,5998
"LTC4S",34,45,29,38,0,0,47,37,40
"LOC106507308",28,67,55,48,59,8,32,65,39
"MAML1",133,34,53,50,49,45,71,101,136
"CANX",3293,3137,2442,2099,3187,3070,3788,2458,5508
"CBY3",0,0,0,0,0,0,0,0,0
"HNRNPH1",6635,9420,10589,9832,7925,8323,8388,7329,9479
"RUFY1",201,271,343,121,137,208,236,153,276
"LOC110259385",0,1,4,0,0,0,0,0,1
"LOC110259767",0,0,5,0,0,22,0,34,0
"LOC110259386",0,0,0,0,0,0,3,0,0
"ADAMTS2",137,136,137,178,48,91,136,208,305
"LOC102157665",0,0,4,6,0,23,0,8,0
"LOC102159167",51,45,40,15,18,92,24,25,40
"GRM6",0,0,3,0,0,15,0,0,0
"LOC100620238",1930,2685,2057,2420,1821,2307,2325,2242,3296
"LOC100621931",12,0,7,0,11,0,6,21,10
"LOC106507314",0,3,4,8,0,14,0,0,0
"PROP1",0,6,0,0,0,0,0,0,0
"LOC106507312",0,0,0,0,0,0,0,0,0
"LOC106507313",0,0,0,0,0,0,0,0,0
"ZNF354A",367,420,281,173,276,162,337,511,349
"CLK4",882,1049,1021,667,874,622,929,983,1162
"COL23A1",11,10,22,0,0,28,10,11,2
"PHYKPL",13,22,6,25,24,109,25,16,114
"HNRNPAB",762,524,336,400,445,249,661,766,1221
"NHP2",10,10,54,0,44,45,35,41,58
"RMND5B",258,245,278,130,162,113,221,340,406
"N4BP3",151,105,164,222,263,136,221,188,298
"LOC106507311",0,0,3,0,0,0,0,0,0
"LOC110259387",0,0,0,0,0,0,0,0,0
"B4GALT7",205,193,196,111,101,134,172,331,465
"TMED9",743,711,830,624,805,404,971,1078,1812
"LOC100524609",0,0,11,0,0,0,0,9,0
"FAM193B",470,543,452,432,235,262,278,605,570
"DDX41",471,462,454,343,260,247,284,629,672
"DOK3",0,0,0,0,0,0,0,0,0
"PDLIM7",1820,1507,1902,1437,1325,1392,1387,2215,2851
"DBN1",214,164,112,185,119,89,101,200,200
"GRK6",230,202,315,114,163,134,268,425,516
"PRR7",0,3,4,0,25,0,4,6,6
"F12",8,3,24,0,40,23,11,44,15
"PFN3",0,0,0,0,0,20,2,0,0
"SLC34A1",0,0,13,0,0,25,2,0,0
"RGS14",110,24,57,15,0,121,34,60,66
"LMAN2",1583,1622,1855,1562,1670,1320,1601,2275,3185
"MXD3",2169,1414,530,1595,1005,1036,845,4571,2656
"PRELID1",4798,2963,2957,4633,2647,3061,3721,6525,8446
"RAB24",3042,2569,2075,4221,1814,1582,2310,4687,4622
"NSD1",376,270,373,113,202,121,317,385,393
"FGFR4",16,56,78,0,25,55,46,75,187
"MIR7138",0,0,0,0,0,0,0,0,0
"ZNF346",114,36,44,42,42,28,19,17,18
"UIMC1",253,135,224,199,101,220,212,242,361
"HK3",425,245,197,205,312,195,515,294,346
"UNC5A",0,13,21,0,49,9,7,12,0
"LOC110259768",0,0,3,0,0,0,0,0,0
"LOC106509474",0,6,0,0,0,0,0,0,0
"TSPAN17",390,273,488,365,586,288,391,639,870
"EIF4E1B",6,0,25,13,0,0,18,10,0
"SNCB",0,0,4,9,0,0,12,0,10
"LOC106509472",5,0,6,0,0,0,2,0,0
"GPRIN1",19,50,53,32,0,21,36,40,79
"CDHR2",17701,16081,22517,34979,8010,12271,20779,54032,34378
"RNF44",928,419,551,575,322,464,527,1440,1139
"LOC106509473",0,0,0,0,0,0,5,20,0
"FAF2",277,304,173,95,177,82,205,309,283
"CLTB",4896,3866,4431,6532,3409,2064,6569,9393,10548
"HIGD2A",1572,1614,1345,1832,1397,734,1380,2405,3541
"NOP16",576,502,847,596,798,679,735,677,1237
"ARL10",44,35,36,0,0,19,23,10,26
"MIR1271",6,0,0,0,0,0,0,0,0
"KIAA1191",2641,3818,4099,2674,1247,1548,2320,6582,5159
"SIMC1",11,24,57,19,71,91,38,42,26
"LOC102158524",0,0,4,0,0,0,0,0,0
"THOC3",335,234,144,149,306,135,246,324,458
"CPLX2",20,12,34,13,0,12,20,0,33
"LOC110259397",8,4,0,0,0,21,0,0,0
"HRH2",8,30,49,74,0,31,26,41,0
"SFXN1",182,218,197,179,119,166,237,263,317
"FCHO2",800,1440,1784,852,1096,863,1465,1596,2146
"TMEM171",2727,3810,5648,5754,2708,1552,3739,10499,7002
"TMEM174",6,13,35,46,17,12,37,43,31
"LOC102165038",23,62,56,58,33,55,65,92,86
"FOXD1",9,0,17,50,18,0,12,53,36
"LOC110259400",0,0,2,0,0,0,0,0,0
"BTF3",4806,7093,4623,3920,4171,4184,5210,6199,6810
"ANKRA2",204,449,406,231,296,236,266,355,376
"UTP15",78,68,59,19,52,191,97,71,203
"ARHGEF28",279,413,361,462,388,750,573,787,1166
"LOC110259401",0,0,0,0,0,0,0,0,0
"TRNAR-UCG",0,0,0,0,0,0,0,0,0
"LOC102160872",0,0,0,0,0,0,0,0,0
"LOC102161047",15,3,10,0,0,57,10,6,0
"LOC102165717",11,0,24,23,0,0,10,3,4
"ENC1",24,55,41,19,35,10,91,72,81
"LOC100627645",1,0,7,25,1,40,2,0,0
"HEXB",306,206,258,245,125,85,287,574,384
"GFM2",89,80,77,61,47,58,52,38,58
"NSA2",1237,1397,1384,964,1468,1454,1179,1292,1838
"FAM169A",70,78,96,71,58,29,81,86,103
"GCNT4",68,136,87,60,61,106,80,87,116
"ANKRD31",6,8,8,66,39,65,9,32,10
"HMGCR",824,474,1100,842,695,688,1197,1589,2268
"COL4A3BP",981,917,1100,670,1048,1144,983,1461,1995
"POLK",382,416,450,203,388,304,425,415,695
"ANKDD1B",0,10,15,0,0,74,12,0,7
"POC5",192,129,114,137,86,59,137,143,224
"LOC102163716",0,0,0,0,0,0,0,0,9
"LOC106509481",5,0,0,0,0,0,1,0,14
"SV2C",0,0,0,0,0,0,0,0,0
"LOC110259403",0,0,6,11,21,13,5,0,10
"IQGAP2",640,559,518,459,263,388,495,715,1583
"LOC110259402",5,0,0,12,0,0,2,0,0
"F2RL2",735,364,375,340,215,143,638,439,738
"F2R",706,197,244,215,418,259,707,351,663
"F2RL1",3386,2224,2126,2061,1417,1576,2894,5669,4921
"S100Z",21,24,29,19,30,11,26,34,50
"CRHBP",15,8,33,7,12,0,6,20,6
"AGGF1",467,509,902,457,451,509,724,643,852
"ZBED3",7,30,9,66,0,18,6,14,0
"PDE8B",52,18,115,19,0,34,24,10,106
"WDR41",153,229,264,104,200,190,148,189,270
"LOC110259769",0,0,0,0,0,0,0,0,0
"OTP",5,0,11,10,0,0,1,0,12
"TBCA",1632,1739,1540,1610,2005,1370,1712,1815,2230
"AP3B1",293,202,323,344,148,166,290,410,837
"SCAMP1",694,848,871,414,834,891,686,653,1466
"LHFPL2",1316,1331,1766,2965,757,1112,1307,2839,3324
"ARSB",422,397,894,190,269,94,79,423,384
"LOC110259406",16,6,1,0,0,43,4,0,0
"LOC110259405",34,27,51,0,42,4,0,64,24
"DMGDH",418,332,381,23,139,105,1,613,115
"BHMT2",0,0,4,0,0,90,0,0,0
"BHMT",0,0,7,0,0,19,0,0,0
"LOC110259770",0,0,0,0,0,0,0,7,0
"JMY",58,90,36,31,80,46,57,99,110
"LOC110259408",0,0,0,0,0,0,5,0,0
"HOMER1",51,80,84,76,43,108,78,63,99
"LOC102158947",0,0,0,0,0,0,0,0,0
"PAPD4",508,557,454,283,317,299,391,557,683
"CMYA5",0,0,3,0,9,19,2,20,0
"LOC106509485",0,0,0,0,0,0,0,0,0
"MTX3",292,194,187,137,188,132,269,222,271
"THBS4",129,170,191,131,199,113,107,164,222
"TRNAE-UUC_7",0,0,0,0,0,0,0,0,0
"LOC110259409",0,0,0,0,0,20,0,0,0
"SERINC5",184,241,384,471,102,313,195,245,395
"SPZ1",0,0,0,0,0,0,0,0,0
"ZFYVE16",931,887,1345,804,994,848,998,1184,1344
"FAM151B",948,738,560,668,450,634,906,742,1634
"ANKRD34B",15,4,5,14,0,0,7,0,0
"DHFR",338,351,648,78,299,278,264,338,380
"MSH3",68,49,107,48,51,49,33,62,110
"TRNAE-UUC_8",0,0,0,0,0,0,0,0,0
"LOC110259412",0,0,2,0,0,0,4,0,0
"RASGRF2",0,10,70,24,9,45,9,29,20
"CKMT2",0,10,17,0,0,23,5,9,0
"ZCCHC9",225,191,156,198,218,146,269,170,268
"ACOT12",0,12,53,0,17,17,2,5,0
"LOC106509487",0,0,4,0,0,0,0,0,0
"LOC110259413",0,0,3,0,0,9,0,0,0
"SSBP2",167,113,100,59,137,76,86,111,236
"LOC110259414",3,13,4,10,0,0,1,0,0
"LOC110259415",0,0,1,0,0,0,2,7,0
"LOC110259416",0,0,0,0,45,12,0,4,0
"ATG10",63,32,86,59,101,17,65,87,124
"RPS23",22285,40491,36372,21173,22469,39065,30238,34362,43800
"ATP6AP1L",57,38,89,53,25,67,63,53,113
"LOC110259417",0,0,0,0,33,0,0,0,0
"LOC106509490",0,0,2,0,0,0,3,0,2
"TMEM167A",2509,3103,3325,2157,2122,2825,2482,2645,4717
"XRCC4",228,287,491,258,148,383,336,374,542
"VCAN",173,246,173,101,97,267,252,288,352
"HAPLN1",138,243,223,146,108,232,207,285,379
"LOC102165705",0,0,0,0,0,0,0,0,0
"EDIL3",86,174,185,228,119,200,150,119,168
"LOC110259771",0,0,0,0,0,0,0,0,0
"COX7C",22914,34186,38714,27483,25449,26088,25696,26985,40595
"RASA1",76,63,86,57,53,73,99,78,157
"CCNH",320,389,262,130,231,328,253,219,463
"LOC110259418",0,0,0,0,0,0,0,0,0
"LOC106509495",0,0,5,18,0,0,0,0,0
"LOC110259419",0,9,0,6,0,0,0,0,0
"TMEM161B",335,249,179,169,166,184,191,224,366
"MIR9-2",0,0,0,0,0,0,0,0,0
"MEF2C",80,152,295,121,92,132,129,128,133
"LOC102159394",31,36,64,11,7,24,30,0,22
"LOC110259421",0,0,5,0,0,13,2,0,0
"LOC110259422",0,0,2,0,0,0,0,0,0
"LOC110259783",0,0,0,0,0,0,0,0,0
"CETN3",383,303,282,117,208,209,325,298,338
"LOC102167126",0,0,0,0,0,0,0,0,0
"MBLAC2",22,50,22,0,16,0,19,5,34
"POLR3G",93,60,69,72,48,40,57,78,137
"LYSMD3",1241,974,631,873,1272,551,1000,1436,1642
"ADGRV1",6,8,35,10,24,22,22,2,8
"LOC110259685",0,0,0,0,0,0,0,0,0
"LOC106508521",0,0,3,0,0,0,0,0,0
"LOC106508640",0,6,17,58,0,0,3,0,0
"ARRDC3",908,973,3003,529,820,753,1286,985,1535
"LOC106507121",0,0,0,0,0,0,0,0,0
"LOC110259423",0,0,0,0,0,0,0,0,0
"LOC102157568",0,0,1,0,0,0,0,6,0
"LOC106509500",0,0,0,0,0,0,19,0,0
"NR2F1",55,186,190,127,151,313,134,173,324
"LOC106509501",0,0,0,13,0,0,0,0,0
"FAM172A",56,24,18,11,15,16,24,33,38
"POU5F2",0,0,11,11,0,18,3,0,6
"KIAA0825",24,45,50,60,68,34,52,34,1
"LOC110259688",4,10,12,0,0,0,4,15,9
"LOC110259689",0,0,0,0,0,0,0,0,0
"SLF1",121,69,91,0,25,17,73,73,84
"LOC110259424",0,0,0,0,0,0,0,0,0
"MCTP1",25,58,110,51,44,121,61,85,94
"LOC110259425",0,0,0,0,0,0,0,0,0
"FAM81B",0,0,0,0,0,0,0,0,12
"TTC37",465,382,452,378,258,407,362,346,393
"ARSK",114,119,142,182,61,241,105,271,297
"GPR150",0,0,0,10,0,0,0,6,0
"RFESD",476,433,425,227,364,476,373,462,633
"SPATA9",0,0,0,0,0,0,0,0,0
"RHOBTB3",265,339,261,290,429,319,374,243,467
"GLRX",6947,6009,6556,7300,5320,3729,5513,9762,9344
"ELL2",185,384,455,159,348,283,416,348,511
"LOC106508433",11,0,2,0,0,0,1,0,9
"PCSK1",29,34,40,38,31,48,26,67,94
"CAST",2332,1837,2701,2127,1446,1785,3319,3554,5565
"LOC110259691",76,184,139,272,25,147,128,211,65
"ERAP1",2013,1017,1227,1239,805,1120,1485,2102,2757
"LOC110259692",0,0,0,0,0,0,0,0,0
"ERAP2",731,348,574,564,294,688,702,692,950
"LNPEP",70,24,51,14,100,15,76,79,124
"LOC106509504",0,0,0,0,0,12,0,0,0
"LOC100511185",0,0,0,0,0,0,0,0,0
"LIX1",87,67,91,44,114,143,108,72,145
"RIOK2",171,143,92,72,121,116,195,128,190
"LOC106509506",6,0,0,0,0,0,0,0,0
"LOC102162145",0,0,0,0,0,0,0,0,0
"RGMB",255,250,210,190,307,239,356,359,356
"LOC106509507",0,11,4,0,0,9,8,0,0
"CHD1",712,875,859,859,569,831,833,973,1024
"LOC102162728",4,5,25,0,0,0,7,4,16
"LOC106509511",0,0,0,0,0,0,0,0,0
"LOC110259428",0,7,12,10,0,0,0,0,0
"FAM174A",347,337,503,428,170,424,357,219,365
"LOC110259429",0,4,5,0,0,0,5,0,0
"ST8SIA4",80,73,108,29,53,119,113,173,168
"LOC110259430",0,0,0,0,0,0,0,0,0
"LOC106509513",0,0,0,0,0,0,0,0,0
"SLCO4C1",13,6,14,0,0,0,33,11,9
"LOC110255325",0,8,6,9,0,19,0,0,0
"SLCO6A1",0,0,0,0,0,0,0,29,12
"LOC102164448",0,0,0,0,0,0,0,0,0
"PAM",1090,1514,1951,1597,843,1685,1182,1361,1639
"GIN1",123,98,84,39,76,71,86,48,126
"PPIP5K2",876,898,1006,615,579,791,796,858,1694
"C2H5orf30",2228,2495,2735,2216,1940,2399,1921,2814,3643
"LOC102165335",0,14,22,0,0,1,7,0,5
"NUDT12",390,301,660,352,496,419,486,402,672
"LOC106509516",12,0,0,0,0,0,0,0,0
"LOC110259432",4,0,3,0,0,0,0,0,0
"LOC110259433",0,0,4,0,0,0,0,0,0
"LOC110259434",0,0,0,0,0,0,0,0,0
"LOC110259435",0,0,0,0,0,0,0,0,0
"LOC110259772",0,0,0,0,0,0,0,0,0
"LOC110259773",0,0,0,0,0,0,0,0,0
"EFNA5",191,121,213,126,182,199,142,92,200
"FBXL17",501,729,1496,1064,732,844,659,625,889
"FER",150,141,92,103,156,77,109,52,111
"LOC110259437",0,0,4,27,0,0,2,21,0
"PJA2",2042,1674,1346,3339,1517,2294,1617,2575,4693
"MAN2A1",272,376,296,316,351,339,304,305,743
"LOC100626591",4,0,7,0,0,19,0,0,0
"TMEM232",0,1,0,0,17,35,0,0,0
"SLC25A46",727,800,971,987,754,474,809,797,1064
"TSLP",0,0,0,0,0,0,4,2,9
"WDR36",292,141,309,152,161,227,303,234,628
"CAMK4",88,107,60,165,71,150,75,57,89
"STARD4",476,462,604,1111,787,721,420,716,2094
"LOC102158757",4,0,46,34,0,3,6,28,25
"MCC",0,20,2,0,0,40,2,19,0
"DCP2",216,227,271,119,205,293,136,239,358
"TRNAE-CUC_2",0,0,0,0,0,0,0,0,0
"REEP5",514,775,741,315,474,516,558,579,1391
"SRP19",1405,2301,2116,1584,2048,2284,1764,1812,2828
"APC",107,96,134,70,121,89,168,172,184
"LOC106509522",0,0,1,0,0,0,2,0,10
"LOC106509521",5,8,37,33,99,54,18,0,50
"EPB41L4A",38,53,106,8,114,39,29,40,34
"LOC100518827",73,104,116,45,109,125,66,100,66
"NREP",445,998,802,549,747,789,622,739,1142
"YTHDC2",457,359,307,160,391,278,489,484,611
"KCNN2",16,21,28,38,58,29,6,15,24
"LOC110259442",1,0,36,0,0,44,5,0,0
"TRIM36",459,455,615,264,687,521,608,439,766
"LOC110259443",0,0,9,0,0,29,2,0,18
"PGGT1B",294,216,220,122,239,168,273,273,430
"CCDC112",39,22,18,0,116,42,28,57,17
"LOC110259444",0,0,0,0,0,0,0,0,0
"LOC110259445",0,4,0,0,26,12,0,0,0
"FEM1C",774,798,1184,906,1374,1711,1709,1073,1498
"TICAM2",125,173,268,133,64,193,155,128,211
"TMED7",780,703,605,606,993,589,839,738,1276
"LOC100522542",0,0,0,0,0,0,0,0,0
"LOC106509530",0,0,6,0,0,0,0,0,0
"CDO1",5,8,16,0,59,30,8,48,45
"ATG12",248,101,178,84,280,137,247,481,349
"AP3S1",8680,7001,4336,3658,4739,5426,4439,9034,7275
"LVRN",5,45,29,26,19,42,6,23,16
"ARL14EPL",0,3,10,0,0,17,9,0,0
"COMMD10",263,220,232,226,409,304,345,385,511
"SEMA6A",2835,1750,1885,2782,1416,1217,2918,5462,4889
"LOC102165671",11,6,0,0,0,0,8,12,6
"LOC110259774",0,0,3,0,0,0,4,0,0
"LOC110259775",0,0,0,0,0,0,0,0,0
"LOC106509534",0,0,0,0,0,0,0,0,0
"LOC102166412",0,3,1,0,0,0,0,0,0
"DTWD2",25,115,167,103,21,54,112,55,94
"LOC106509536",0,12,7,12,0,9,3,0,0
"DMXL1",284,374,322,287,277,459,389,327,732
"TNFAIP8",977,578,974,451,944,797,596,855,1150
"HSD17B4",1115,1288,1251,895,956,1355,1162,1184,2060
"LOC110259451",2,4,20,3,0,24,2,0,12
"LOC100524190",0,0,0,0,0,0,0,0,0
"LOC110259452",0,0,0,0,0,0,0,0,0
"PRR16",43,59,64,41,64,110,49,20,28
"LOC110259454",0,0,5,0,0,0,0,0,9
"LOC100524732",0,0,5,0,51,0,0,0,0
"LOC110259777",0,0,0,0,0,0,0,0,0
"LOC102160311",0,1,0,0,0,0,0,0,0
"FTMT",0,0,0,0,0,0,0,0,0
"SRFBP1",97,80,106,34,90,132,125,96,162
"LOC100525452",0,0,0,0,0,10,3,0,14
"LOX",13,3,21,22,16,18,16,18,15
"SNCAIP",0,16,7,0,0,27,1,13,16
"LOC110259455",0,0,0,0,0,0,0,7,0
"SNX2",1693,1381,1836,1607,1211,1284,1460,1492,2267
"SNX24",345,343,406,461,130,323,521,454,1065
