"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC100521647",234,81,0,25,49,210,145,119
"LOC100521998",8,0,48,2,27,37,34,23
"LOC106508817",14,0,0,24,0,4,0,0
"ULBP1",10,0,0,0,0,0,0,0
"LRP11",92,207,111,88,204,243,119,184
"PCMT1",4496,4847,4011,4393,2970,3803,6773,6140
"NUP43",180,179,212,144,341,181,164,448
"LATS1",428,432,254,303,387,546,391,768
"KATNA1",287,381,337,288,218,363,630,511
"GINM1",1382,1160,645,994,1111,1095,1837,1752
"PPIL4",363,514,254,177,345,419,552,404
"ZC3H12D",165,119,247,43,196,181,642,533
"LOC110259956",6,0,0,0,0,1,0,30
"TAB2",1788,1448,1562,1057,1887,2143,2895,2888
"LOC106508820",0,0,0,0,8,4,0,0
"LOC102159681",1,15,0,0,56,3,7,0
"UST",0,2,0,0,9,10,18,9
"SASH1",295,489,271,373,326,737,773,533
"LOC106508822",0,3,7,0,0,1,8,12
"SAMD5",24,41,88,88,64,73,25,43
"LOC110256596",0,0,0,0,0,2,0,2
"STXBP5",208,185,142,189,228,133,202,334
"LOC102160169",5,15,0,10,16,10,0,13
"ADGB",37,21,15,29,60,24,77,11
"RAB32",784,252,1035,503,293,741,1050,925
"GRM1",0,0,18,0,6,1,12,0
"SHPRH",250,293,81,239,252,270,212,459
"FBXO30",311,437,274,590,366,328,363,631
"EPM2A",49,88,18,23,39,25,55,51
"UTRN",430,361,293,261,420,283,279,502
"LOC106506455",0,0,0,0,20,11,0,19
"TRNAL-UAA",0,0,0,0,0,0,0,0
"STX11",127,48,82,112,50,140,100,106
"SF3B5",1163,1396,694,1128,1165,903,1431,2401
"PLAGL1",82,25,21,79,127,57,65,122
"ZC2HC1B",0,0,0,0,13,0,0,0
"LTV1",177,180,84,156,144,216,149,278
"PHACTR2",199,471,501,181,853,316,420,508
"FUCA2",1652,2411,1904,1217,1138,1994,2982,2306
"PEX3",85,184,75,113,159,166,164,149
"ADAT2",55,66,52,41,163,74,150,167
"LOC110256604",0,0,0,0,0,2,0,0
"AIG1",717,624,339,560,963,528,889,1344
"LOC102166818",8,74,21,0,6,13,0,0
"HIVEP2",60,77,109,109,257,144,233,196
"ADGRG6",734,1072,392,640,151,1036,879,1002
"VTA1",2049,1802,1366,1529,1316,1699,2567,3231
"NMBR",0,1,0,14,5,0,0,8
"LOC106508831",0,0,0,15,0,0,0,0
"LOC110259987",8,0,0,0,0,4,0,0
"LOC102163845",0,0,0,0,0,1,0,9
"CITED2",577,588,901,762,442,462,675,1203
"TXLNB",24,32,0,0,0,23,0,0
"HECA",876,1281,1284,489,599,1394,1971,1909
"ABRACL",2360,3513,2585,2609,2645,3358,2827,4618
"LOC110259990",19,13,0,0,26,33,12,34
"REPS1",196,286,130,66,179,284,375,441
"ECT2L",2,0,4,0,0,0,9,0
"CCDC28A",758,1327,617,887,590,757,1320,1323
"NHSL1",1077,921,1262,318,432,531,2593,711
"HEBP2",684,465,688,641,826,491,877,1233
"LOC100154647",0,0,0,0,0,2,0,0
"ARFGEF3",60,143,33,19,41,40,118,147
"PERP",3471,2998,2937,2136,2808,3141,4926,5952
"TNFAIP3",943,257,450,487,361,1536,1139,590
"LOC100621792",14,0,0,42,0,6,0,0
"LOC106508840",5,0,0,0,0,0,0,0
"LOC102167333",9,0,0,9,0,79,7,31
"IFNGR1",5664,3144,2335,3798,3744,7599,6689,9249
"IL22RA2",9,0,0,31,0,7,26,0
"IL20RA",61,75,19,147,23,65,84,62
"SLC35D3",11,0,0,0,22,2,2,21
"PEX7",92,116,93,44,51,132,128,151
"LOC106508844",15,12,12,0,15,5,0,0
"MAP3K5",38,76,128,46,122,90,74,83
"MAP7",641,862,449,285,453,639,1058,1323
"LOC110256640",5,1,0,0,7,0,0,0
"LOC106506526",10,9,0,0,0,8,0,10
"BCLAF1",1411,1597,700,869,1480,1268,1189,1840
"MTFR2",105,34,45,92,30,42,57,148
"PDE7B",17,39,46,96,75,29,91,66
"LOC106504354",0,0,0,0,0,0,0,0
"AHI1",35,48,29,20,103,16,34,69
"LOC110260025",0,0,0,0,10,0,8,0
"MYB",225,202,37,232,169,176,167,159
"HBS1L",952,1199,900,976,973,1291,1319,1816
"ALDH8A1",0,0,0,0,0,0,0,0
"LOC110260031",13,75,19,0,45,6,129,54
"LOC110260032",8,0,29,0,0,14,43,0
"SGK1",8952,5096,8781,5692,6859,6166,17790,11459
"SLC2A12",24,23,25,86,44,42,33,8
"TBPL1",254,79,72,160,265,212,281,338
"TCF21",250,251,285,205,347,406,467,488
"EYA4",3,2,0,43,0,2,0,10
"LOC106507477",0,0,9,16,0,2,0,0
"LOC102166614",0,0,18,0,32,5,0,0
"RPS12",13629,22680,14073,16319,18784,16292,20906,23849
"SLC18B1",295,401,213,169,221,280,283,730
"VNN2",11,37,0,0,13,56,8,54
"VNN3",9,7,0,0,0,64,0,0
"VNN1",4,0,0,0,13,22,0,0
"TAAR1",0,22,20,0,0,13,16,11
"STX7",1336,2042,1486,1722,1494,1956,2182,2408
"LOC110260060",11,0,17,0,17,6,18,6
"MOXD1",15,22,27,41,33,9,24,43
"CTGF",1373,1393,2134,2729,921,1050,893,1897
"ENPP1",131,173,146,212,252,181,159,217
"ENPP3",73,72,93,252,114,210,313,177
"MED23",423,571,458,397,878,496,572,899
"ARG1",96,20,80,0,10,246,443,0
"LOC106508846",0,0,0,0,0,0,0,0
"AKAP7",733,765,1433,206,863,851,689,967
"LOC106508847",234,73,144,41,146,100,84,105
"EPB41L2",482,534,394,446,528,594,660,1048
"SMLR1",0,65,29,0,0,5,4,0
"TMEM200A",46,16,23,0,23,9,4,4
"SAMD3",11,4,12,0,33,11,26,43
"L3MBTL3",113,60,93,55,186,89,43,218
"TMEM244",6,2,19,0,4,2,10,12
"ARHGAP18",521,463,269,474,296,443,522,439
"LOC106508849",12,1,28,0,0,2,9,0
"LAMA2",200,289,270,202,313,140,169,315
"LOC110260185",0,0,0,0,0,1,0,0
"PTPRK",933,1267,1201,1095,1179,1280,1335,1744
"LOC110256645",7,23,0,0,0,0,0,0
"THEMIS",22,27,6,39,17,43,61,25
"LOC100512146",5,58,0,0,10,1,0,67
"SOGA3",0,0,0,0,0,0,9,0
"KIAA0408",54,60,41,38,86,15,29,19
"ECHDC1",810,669,860,569,667,718,710,1460
"RNF146",1197,1243,858,738,597,1470,1922,1570
"RSPO3",14,8,0,21,19,7,0,16
"LOC110260187",0,0,11,0,25,5,0,7
"CENPW",141,93,39,51,93,87,60,181
"LOC106508854",0,0,12,0,14,4,0,4
"TRMT11",78,103,60,114,69,76,87,116
"HINT3",296,195,159,225,153,225,228,285
"NCOA7",440,256,206,487,391,702,337,513
"LOC110260188",0,5,1,0,7,10,4,0
"HEY2",42,68,43,38,68,49,77,74
"LOC110260189",0,3,1,0,1,5,0,0
"HDDC2",360,386,313,327,335,275,303,486
"TPD52L1",12,0,0,0,6,4,0,2
"RNF217",126,140,196,130,216,89,155,170
"NKAIN2",0,0,19,33,4,19,0,36
"LOC106508857",0,2,25,1,17,2,0,10
