"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC106509786",0,8,0,0,0,3,7,0
"SFXN5",129,89,84,80,95,139,133,457
"SPR",283,447,191,460,332,408,323,567
"EXOC6B",217,79,138,111,61,98,161,341
"LOC100521659",246,296,608,68,192,288,789,1453
"DYSF",60,57,41,34,88,37,84,107
"ZNF638",211,224,57,142,57,188,225,311
"PAIP2B",10,13,8,25,0,2,28,34
"NAGK",1288,1106,1035,1281,1028,1308,1736,2314
"TEX261",2169,2642,3286,2313,1881,2122,3422,4740
"ANKRD53",11,0,14,0,50,3,0,0
"ATP6V1B1",0,0,20,0,2,0,6,0
"VAX2",7,0,15,0,7,2,14,16
"CD207",7,20,0,0,0,9,38,49
"CLEC4F",0,0,0,0,0,3,0,0
"ADD2",0,3,17,0,51,5,0,0
"TGFA",64,24,39,119,123,79,23,138
"LOC110260138",0,13,0,39,18,0,0,0
"FAM136A",732,589,471,565,286,563,730,905
"SNRPG",5307,5919,3472,5026,4819,5979,4970,6909
"PCYOX1",689,401,525,469,457,538,688,795
"TIA1",1677,1305,1155,1067,1114,1318,1569,2007
"C3H2orf42",107,110,120,101,61,108,188,151
"ASPRV1",973,394,451,224,108,414,592,320
"PCBP1",3795,4989,4357,3922,3270,5880,5179,7330
"MXD1",11448,8898,12516,6591,5212,12957,20679,17384
"SNRNP27",2259,2187,1504,2351,2203,2086,2321,3631
"GMCL1",543,572,221,330,524,574,721,762
"ANXA4",1427,652,467,1159,534,1491,1021,2005
"LOC102163904",0,0,0,0,37,2,0,0
"AAK1",442,727,562,279,288,451,733,370
"LOC100512341",461,620,446,374,139,536,869,550
"NFU1",1381,1902,1120,1221,940,1443,1592,2091
"GFPT1",8316,7248,4724,6707,5893,6493,7339,8579
"LOC110259993",3,0,0,0,5,22,6,0
"ANTXR1",420,640,507,489,951,609,472,945
"BMP10",0,0,0,0,13,0,0,0
"ARHGAP25",61,143,81,164,117,146,113,170
"PROKR1",0,0,0,0,0,0,0,0
"LOC110259994",0,6,0,0,0,2,0,0
"APLF",606,817,632,331,646,476,588,820
"FBXO48",1923,3152,3602,1995,2144,1518,3462,5374
"PLEK",101,45,32,381,65,359,66,55
"CNRIP1",233,327,396,261,438,273,324,305
"PPP3R1",1101,1082,459,1181,835,921,1292,1838
"PNO1",723,719,458,757,575,683,528,1347
"WDR92",209,301,200,210,151,167,215,247
"TRNAV-UAC_3",0,0,10,0,0,4,0,0
"C1D",1675,1713,1548,1473,2073,2068,2048,2799
"ETAA1",67,149,26,41,99,77,68,149
"LOC110259995",5,5,13,19,9,0,0,0
"LOC106509797",34,53,0,18,26,12,0,38
"LOC110259997",0,5,0,0,0,2,0,0
"LOC110259996",7,3,0,0,14,4,7,15
"MEIS1",139,201,122,99,224,178,120,273
"LOC106509799",9,29,0,17,57,5,23,0
"SPRED2",629,146,461,125,283,642,674,612
"ACTR2",5080,4212,4170,4317,4725,5685,6189,10023
"RAB1A",1904,1093,658,1545,972,1836,2536,2674
"CEP68",1371,1860,2287,1356,1826,1878,2448,2875
"SLC1A4",43,22,17,67,123,71,46,35
"LOC102160963",10,0,0,0,18,0,22,26
"SERTAD2",269,245,270,345,216,518,568,805
"AFTPH",776,733,549,471,663,975,1097,1443
"LGALSL",133,251,146,166,235,151,200,328
"LOC110259999",0,0,0,0,0,4,0,3
"PELI1",1252,1198,1300,929,1104,1593,2005,1901
"VPS54",1050,912,1103,690,730,1104,1118,1354
"UGP2",2095,1575,1676,1563,1868,1905,3837,4150
"LOC106507380",0,0,0,0,0,3,4,25
"MDH1",2082,1623,678,1646,1159,1227,1315,2400
"LOC110260000",16,7,0,0,0,0,1,11
"WDPCP",12,15,13,0,10,13,1,12
"EHBP1",262,325,158,178,173,376,253,367
"TMEM17",33,16,21,96,5,38,8,72
"LOC106508312",17,37,24,0,23,49,24,9
"LOC110260002",8,0,0,28,0,1,0,0
"B3GNT2",2388,2284,2696,3030,2209,5700,4910,5759
"LOC110260003",1,6,0,0,0,7,8,0
"COMMD1",198,276,149,395,132,213,322,430
"CCT4",3841,3700,2414,3867,3602,3348,3195,5741
"FAM161A",37,48,43,76,31,32,15,23
"LOC106509807",30,35,14,15,19,30,39,24
"LOC106509808",0,0,0,0,0,0,0,0
"XPO1",3109,2930,2552,2532,1861,3150,2393,3750
"LOC102166164",1,8,10,0,0,3,0,0
"USP34",465,512,325,438,428,479,714,641
"AHSA2",19,7,17,19,19,3,21,21
"MIR9811",0,0,0,0,0,0,0,73
"C3H2orf74",45,22,0,37,22,3,14,0
"KIAA1841",47,60,66,19,140,75,41,103
"PEX13",681,652,859,560,392,757,871,1394
"PUS10",261,299,267,219,303,314,314,492
"REL",50,77,116,70,92,121,107,125
"PAPOLG",139,211,152,118,163,170,243,238
"LOC110260007",0,0,0,0,0,2,0,0
"BCL11A",43,39,42,82,37,46,48,100
"LOC102159571",8,4,0,0,7,2,0,0
"FANCL",12,13,7,19,0,5,25,24
"VRK2",33,33,0,64,27,36,29,58
"LOC110260097",0,0,0,0,0,0,0,0
"LOC110260099",0,0,0,0,0,0,0,0
"CCDC85A",47,42,35,1,23,27,18,25
"EFEMP1",867,562,1101,1261,1040,1319,1010,2071
"PNPT1",804,511,511,389,482,652,529,912
"PPP4R3B",251,186,96,115,114,350,354,406
"CFAP36",78,73,29,103,116,113,136,125
"LOC102163556",0,5,0,0,0,0,0,0
"CCDC88A",161,122,174,64,130,141,91,147
"LOC100514282",142,263,103,339,122,150,211,274
"MTIF2",111,162,161,148,138,172,125,237
"RPS27A",27344,38796,35933,36142,35105,28779,36604,42564
"CLHC1",22,22,32,30,37,14,50,49
"LOC110260013",0,3,0,0,0,0,0,0
"RTN4",1234,1043,646,894,806,1098,1308,2650
"EML6",10,9,0,0,15,1,0,0
"LOC110260125",10,0,0,0,0,0,6,0
"SPTBN1",2087,1952,1521,1932,1395,2388,3139,3540
"C3H2orf73",0,0,0,0,24,1,4,0
"ACYP2",268,429,217,318,397,300,321,317
"LOC110260101",0,0,0,0,0,0,0,0
"PSME4",821,540,450,318,449,721,758,1126
"GPR75",2,3,0,0,0,1,5,4
"ERLEC1",557,698,334,651,518,539,674,1222
"ASB3",381,322,142,214,260,272,205,373
"CHAC2",477,497,477,427,361,410,351,894
"TRNAF-GAA_3",0,0,0,0,28,1,0,0
"LOC102167127",0,0,0,0,0,1,6,0
"NRXN1",96,137,108,141,186,116,106,201
"FSHR",0,2,0,0,0,0,0,0
"LHCGR",0,0,0,0,0,5,0,0
"GTF2A1L",9,7,0,0,10,5,0,28
"STON1",277,552,159,560,214,266,311,369
"PPP1R21",243,255,73,283,176,305,354,286
"FOXN2",520,556,339,836,659,785,669,1137
"FBXO11",1324,1570,1357,1311,1392,1417,1431,2436
"MSH6",223,186,138,179,165,136,186,243
"LOC110260142",0,0,0,0,37,0,0,0
"KCNK12",7,4,0,0,26,1,18,0
"MSH2",567,553,921,381,463,480,340,428
"EPCAM",24991,21747,35884,20402,17987,23613,42718,39067
"LOC110260018",6,20,14,38,0,12,0,16
"CALM2",33433,30632,22433,47066,26248,37615,31521,55853
"STPG4",5,13,0,0,1,15,19,15
"TTC7A",217,185,273,128,153,175,308,432
"MCFD2",902,621,444,645,544,993,1008,1553
"LOC110260144",0,16,0,0,0,0,0,0
"SOCS5",284,266,164,334,424,254,191,240
"CRIPT",2363,3351,3110,2938,3370,2160,2802,4263
"PIGF",162,196,80,177,120,96,221,156
"RHOQ",242,166,178,164,223,171,82,519
"ATP6V1E2",0,18,0,0,13,6,0,0
"LOC110260021",0,0,0,0,0,2,11,0
"EPAS1",55,52,51,45,41,78,155,218
"LOC106509830",0,2,0,0,33,0,0,0
"PRKCE",191,183,48,111,91,225,291,305
"SRBD1",115,150,78,146,187,173,173,204
"LOC106509837",0,6,0,14,0,9,0,9
"SIX2",0,0,17,0,0,4,19,4
"SIX3",9,0,0,17,11,3,0,7
"LOC110260022",13,0,0,0,0,0,0,0
"LOC110260024",0,15,0,0,0,0,0,0
"CAMKMT",49,64,88,73,87,55,103,118
"PREPL",231,204,94,231,208,188,202,402
"SLC3A1",86,149,105,16,28,208,619,511
"LOC106508573",0,0,0,0,0,0,0,5
"PPM1B",857,873,670,648,340,895,1316,967
"LRPPRC",707,760,326,837,598,728,772,1006
"ABCG8",0,5,0,17,16,0,0,0
"ABCG5",0,0,0,0,0,2,0,0
"DYNC2LI1",57,90,101,41,51,53,66,46
"PLEKHH2",62,116,93,130,116,160,109,104
"THADA",34,19,0,132,36,35,4,37
"ZFP36L2",396,366,572,265,275,320,545,523
"LOC106509841",39,14,0,0,58,7,31,19
"LOC106509839",17,1,0,0,0,2,0,0
"LOC106509842",6,0,0,0,0,2,0,0
"LOC106509843",32,36,24,31,23,23,66,42
"HAAO",269,372,219,211,141,457,528,772
"MTA3",403,234,480,296,216,351,425,570
"KCNG3",0,9,0,0,0,2,0,30
"LOC100516606",4235,5484,3784,3402,3334,4304,6197,7714
"EML4",447,547,219,467,341,385,321,596
"PKDCC",361,343,497,368,193,334,677,784
"LOC110260026",0,0,0,0,0,4,0,0
"C3H2orf91",0,0,0,0,4,0,0,0
"LOC102165712",1,0,0,0,0,0,0,0
"SLC8A1",112,130,42,186,145,123,185,165
"THUMPD2",169,267,123,139,169,207,186,291
"TMEM178A",86,88,43,42,85,90,226,95
"LOC102166345",0,0,0,0,0,0,26,0
"LOC102166222",9,3,2,6,10,14,14,24
"MAP4K3",2861,3263,3239,2646,2242,3155,4770,3773
"CDKL4",0,10,9,0,0,1,18,19
"SOS1",606,634,431,468,440,772,789,919
"LOC110260029",5,0,0,0,32,4,0,0
"ARHGEF33",11,29,22,38,26,19,44,30
"LOC110260027",0,0,0,0,57,0,0,6
"MORN2",262,194,114,184,304,207,258,387
"DHX57",65,88,63,130,85,88,145,120
"GEMIN6",429,466,236,335,547,472,393,660
"SRSF7",1399,1308,495,1055,818,1205,1309,1855
"GALM",422,482,336,300,302,257,488,783
"LOC102164129",6,15,0,0,0,2,0,10
"HNRNPLL",990,1179,792,846,1074,954,811,1425
"LOC102158799",7,0,0,0,0,1,0,0
"ATL2",1284,1042,382,894,1104,955,1049,1598
"LOC102160052",0,0,0,0,18,0,1,0
"LOC100625479",180,34,84,114,77,112,80,113
"RMDN2",48,31,0,18,30,26,25,77
"LOC110255304",0,0,0,0,6,0,0,0
"CDC42EP3",2197,2040,2099,2607,3117,2027,1819,2831
"QPCT",180,106,240,232,162,140,188,268
"PRKD3",22,20,8,0,30,38,40,60
"NDUFAF7",51,28,33,57,54,58,32,91
"CEBPZ",41,40,18,18,46,34,38,67
"CEBPZOS",422,410,319,436,223,343,460,986
"EIF2AK2",2209,1383,3018,1011,1158,2000,2117,3225
"GPATCH11",176,157,93,126,82,145,111,213
"HEATR5B",179,120,106,230,45,133,182,233
"STRN",994,642,610,437,330,992,1230,1540
"VIT",50,70,35,37,69,35,46,160
"FEZ2",392,535,497,548,641,519,559,927
"CRIM1",160,193,90,218,287,202,202,197
"LOC106509856",0,2,0,0,0,0,0,0
"FAM98A",538,829,534,689,699,686,709,1037
"RASGRP3",143,171,193,153,198,138,195,178
"LOC110260036",0,0,0,18,0,0,14,0
"LTBP1",138,92,124,114,149,107,114,104
"LOC110260037",0,0,0,0,0,0,0,6
"LOC110260038",0,20,22,0,11,0,24,2
"TTC27",79,81,80,62,17,121,69,203
"BIRC6",575,820,597,507,800,744,814,1000
"YIPF4",1246,1340,859,990,933,1346,1751,2055
"SLC30A6",301,249,309,214,228,376,371,514
"SPAST",337,433,107,284,362,263,412,497
"DPY30",1797,2185,1284,2001,2354,1741,2223,3346
"MEMO1",623,729,446,767,832,717,454,1106
"SRD5A2",0,0,0,0,0,0,10,0
"XDH",0,0,0,0,0,1,1,0
"EHD3",11,3,0,0,0,1,0,22
"CAPN14",0,0,17,0,0,0,0,22
"GALNT14",0,0,0,0,10,7,0,17
"CAPN13",0,0,7,0,31,1,0,18
"LCLAT1",30,56,50,226,33,65,87,151
"LBH",501,996,1461,650,371,987,961,1384
"YPEL5",4772,8929,4956,4983,5446,5697,8280,9665
"ALK",0,11,0,0,16,0,0,0
"LOC110260042",7,5,19,0,0,1,0,0
"CLIP4",0,6,40,0,0,6,0,7
"C3H2orf71",0,0,14,0,60,2,0,0
"TOGARAM2",0,4,10,0,0,0,0,0
"WDR43",445,437,344,439,439,407,331,422
"TRMT61B",74,160,218,210,83,156,94,194
"SPDYA",0,0,0,0,13,1,0,0
"PPP1CB",11079,11235,14197,11305,9439,13543,14889,22140
"LOC106509865",30,28,9,57,9,16,0,67
"PLB1",0,17,31,18,59,3,0,7
"FOSL2",1511,1646,3337,1530,835,1822,3622,4551
"BABAM2",222,299,176,109,245,263,278,441
"LOC102157709",108,172,325,106,127,110,267,320
"RBKS",473,332,335,175,417,480,1664,571
"LOC110260104",0,1,0,0,0,0,0,0
"TRNAE-UUC_11",0,4,0,0,0,9,0,9
"MRPL33",1290,1683,1027,1635,1223,1544,1694,2246
"SLC4A1AP",122,111,68,144,91,141,206,106
"SUPT7L",44,23,50,64,15,42,111,47
"GPN1",145,151,75,174,250,209,186,193
"CCDC121",13,20,0,21,20,24,3,45
"ZNF512",131,163,83,47,39,85,40,225
"GCKR",0,0,0,0,0,0,0,0
"FNDC4",8,29,22,11,0,7,0,36
"IFT172",61,56,146,48,16,93,79,146
"KRTCAP3",215,333,82,117,106,238,367,523
"NRBP1",631,853,642,461,461,756,1438,1491
"PPM1G",598,558,335,451,380,531,917,1076
"ZNF513",254,284,174,273,51,304,374,509
"SNX17",404,389,253,340,186,430,712,1042
"EIF2B4",324,325,301,236,188,242,210,286
"GTF3C2",200,151,56,104,37,209,335,230
"MPV17",75,59,53,42,53,29,46,104
"UCN",0,2,0,0,0,0,0,0
"DNAJC5G",0,0,0,0,0,0,0,0
"SLC30A3",0,12,0,0,0,6,0,0
"CAD",105,64,54,119,51,89,106,125
"ATRAID",182,394,304,157,201,323,602,584
"SLC5A6",261,224,167,157,165,168,250,193
"TCF23",0,0,0,0,10,3,8,0
"PRR30",0,0,0,0,0,5,0,0
"PREB",720,605,291,449,360,559,1120,953
"ABHD1",66,26,0,0,16,26,59,43
"CGREF1",42,69,7,27,39,38,69,125
"KHK",232,258,335,351,218,211,275,549
"EMILIN1",777,554,504,660,314,480,815,1467
"LOC106509868",332,336,184,438,493,271,292,430
"OST4",528,511,314,621,428,441,561,667
"AGBL5",23,18,78,40,27,25,35,12
"TRNAY-GUA",0,0,0,17,0,0,0,0
"TMEM214",384,550,478,463,424,495,644,1026
"MAPRE3",57,63,72,63,54,54,57,74
"DPYSL5",6,0,0,24,19,2,0,13
"CENPA",239,147,130,18,138,157,119,266
"SLC35F6",295,279,312,382,245,262,634,753
"LOC106509869",3,10,0,13,26,4,0,0
"KCNK3",9,5,0,0,0,2,0,7
"CIB4",4,0,0,26,0,0,8,35
"LOC102157447",0,4,0,0,0,0,0,0
"OTOF",21,35,0,62,8,16,37,31
"DRC1",5,16,11,20,7,2,5,24
"SELENOI",180,87,34,47,58,164,180,150
"ADGRF3",0,8,0,0,41,5,0,0
"HADHB",3895,3793,2689,2816,2753,2413,4809,5581
"HADHA",4001,3676,2908,1740,1888,1894,6201,4646
"GAREM2",25,0,0,0,27,3,13,0
"RAB10",2968,2141,1433,1996,2423,2849,3556,5749
"LOC106509872",9,0,0,0,0,0,0,0
"KIF3C",112,50,62,17,10,84,259,86
"LOC110260146",143,236,228,175,9,94,375,95
"ASXL2",434,343,415,203,232,400,505,543
"DTNB",32,55,70,15,86,65,135,81
"DNMT3A",372,332,183,134,241,205,296,353
"POMC",76,72,138,0,36,73,52,67
"EFR3B",24,8,0,0,0,15,12,0
"DNAJC27",12,23,0,0,0,28,15,41
"ADCY3",54,50,16,91,44,81,115,67
"CENPO",44,24,49,0,26,71,24,64
"PTRHD1",94,134,130,141,77,160,79,181
"NCOA1",377,331,230,193,256,404,435,564
"LOC106504180",0,0,0,0,65,0,0,0
"ITSN2",400,385,420,457,292,527,394,592
"LOC102165132",4,0,0,0,0,0,0,0
"FAM228A",0,0,0,0,6,0,0,0
"LOC100738909",4,2,0,30,0,13,0,0
"PFN4",1,0,0,0,0,0,0,10
"LOC110260105",15,4,0,0,0,3,0,0
"TP53I3",15,20,0,0,0,11,29,0
"SF3B6",1214,1687,1472,1279,1268,1372,1876,2021
"FKBP1B",46,61,43,44,33,40,24,151
"WDCP",55,32,14,27,16,62,62,79
"MFSD2B",6,0,18,29,15,0,0,18
"UBXN2A",554,560,586,661,604,778,802,1400
"ATAD2B",59,48,17,68,25,70,51,107
"KLHL29",18,43,25,0,15,35,118,47
"LOC102165540",0,8,0,0,0,8,0,0
"LOC110260048",0,0,0,0,0,0,0,0
"LOC102165887",0,0,1,0,0,0,0,0
"TDRD15",0,15,17,0,36,1,0,0
"APOB",14,127,82,56,33,115,100,11
"LOC102168156",6,0,0,0,0,0,0,0
"LDAH",111,75,80,80,25,83,76,102
"GDF7",0,0,0,0,14,0,0,0
"LOC102157748",0,0,0,0,0,0,6,0
"HS1BP3",431,256,197,294,137,276,391,643
"RHOB",5232,3469,3874,3104,3895,3536,12659,7773
"LOC100523732",18,2,0,0,5,1,0,0
"LOC102158392",0,0,0,0,0,0,14,0
"PUM2",1355,1431,703,978,892,1297,1385,1957
"SDC1",757,785,464,418,325,651,1177,1885
"LOC110260147",6,0,0,0,0,9,9,17
"LAPTM4A",7194,8017,6312,6614,5483,9669,10766,11599
"MATN3",4,14,29,19,35,18,45,16
"WDR35",88,170,130,156,212,175,151,160
"TTC32",0,18,0,0,0,8,17,5
"OSR1",120,175,369,101,126,238,236,346
"LOC106509893",0,0,14,0,0,0,0,0
"LOC106509892",0,0,0,0,13,2,0,0
"LOC106509894",0,0,0,0,0,0,0,0
"RDH14",165,296,160,208,153,256,189,323
"KCNS3",131,225,305,224,116,317,152,274
"GEN1",26,16,22,17,23,26,47,8
"SMC6",166,243,195,146,175,211,249,251
"VSNL1",0,5,0,0,6,0,0,0
"FAM49A",132,19,23,50,52,100,86,126
"MYCN",8,24,36,0,45,28,3,31
"DDX1",617,611,356,591,535,714,632,893
"NBAS",67,102,112,17,90,66,90,55
"LOC110260053",0,0,0,0,7,0,0,0
"FAM84A",227,308,80,107,135,182,403,226
"LOC106509005",0,0,0,0,0,0,0,0
"LOC102166974",9,15,18,11,0,14,0,7
"TRIB2",97,112,108,159,259,99,60,115
"LOC106509905",0,13,0,22,7,4,0,0
"LOC106509908",31,7,3,0,24,13,5,0
"LOC106509907",32,61,36,33,56,23,96,98
"LOC106507391",0,3,0,0,0,1,5,14
"LPIN1",172,126,242,56,102,154,373,242
"LOC110260056",0,0,0,0,13,0,0,0
"NTSR2",0,0,19,0,0,0,5,0
"GREB1",9,0,30,0,80,2,56,12
"E2F6",81,74,83,73,103,80,158,102
"ROCK2",1704,1520,1029,993,988,1657,2147,2423
"PQLC3",107,156,72,105,59,95,37,120
"PDIA6",497,469,250,432,241,528,538,1126
"LOC110260057",0,0,0,0,2,0,0,0
"ATP6V1C2",246,282,223,180,199,365,434,440
"NOL10",126,74,21,89,128,118,149,177
"ODC1",955,863,430,540,312,953,1127,1524
"HPCAL1",230,201,57,82,84,166,258,326
"RRM2",293,531,357,347,434,172,175,662
"CYS1",119,359,633,353,441,208,245,439
"KLF11",81,104,100,98,17,17,40,54
"GRHL1",7,5,14,38,7,3,13,28
"TAF1B",163,117,105,18,134,151,85,139
"LOC102158714",0,5,0,0,0,3,0,2
"YWHAQ",1919,1549,1140,1772,1497,1875,1740,3246
"ADAM17",203,272,324,103,199,232,238,263
"IAH1",928,749,765,1139,1078,814,1056,1593
"CPSF3",502,410,390,327,281,520,663,800
"ITGB1BP1",621,613,903,378,482,778,1407,1183
"ASAP2",411,201,231,156,130,288,442,399
"MBOAT2",1562,519,1341,484,723,348,1408,1975
"KIDINS220",1070,1056,1152,1107,801,1301,1653,1703
"ID2",844,960,462,914,553,1041,1751,1569
"LOC106509912",14,8,0,25,24,3,23,37
"LOC102160712",15,9,13,0,50,14,32,36
"LOC102160793",0,0,0,0,0,0,0,0
"LOC110260061",18,2,13,38,68,4,0,18
"LOC102161617",4,0,17,0,6,6,6,0
"LOC106509914",0,29,0,0,40,0,0,14
"LOC100513921",0,37,25,0,0,3,33,0
"RNF144A",194,300,216,209,292,227,247,198
"RSAD2",17356,1643,21746,493,4351,3197,8845,8680
"CMPK2",3063,890,5753,536,1494,1608,3075,2839
"LOC100624063",0,0,0,0,0,0,0,0
"SOX11",5,4,0,0,11,21,2,16
"LOC110260064",0,0,0,0,0,0,0,15
"DCDC2C",0,0,0,0,22,0,0,0
"ALLC",0,0,0,0,0,0,0,0
"COLEC11",96,220,51,152,75,39,42,134
"RPS7",29519,35657,27667,31826,49309,28729,43165,48626
"RNASEH1",188,281,227,200,194,238,288,423
"ADI1",906,1149,870,798,665,1009,1572,2484
"TRAPPC12",487,627,501,342,240,465,679,874
"EIPR1",455,387,439,397,217,321,500,768
"LOC106509920",27,0,0,0,0,6,5,25
"LOC102166079",0,0,0,0,0,0,0,0
"MYT1L",7,0,42,0,0,2,0,0
"PXDN",173,304,321,259,205,270,397,544
"TPO",9,7,15,0,0,5,7,16
"TMEM18",426,470,319,225,181,499,928,928
"LOC106509926",0,0,0,0,0,15,41,10
"ALKAL2",15,41,93,25,9,25,7,22
"ACP1",1829,2769,1925,2177,3345,1899,2461,3551
"SH3YL1",993,990,816,899,709,965,1276,1647
"LOC110260066",62,9,6,12,0,49,114,37
"LOC110260067",7,0,15,0,0,4,24,0
"FAM110C",1364,1245,1234,985,1183,1560,2267,2897
"LOC110260419",0,0,0,0,0,1,0,0
"C4H8orf33",537,423,549,228,299,397,581,576
"LOC100621388",489,595,300,185,327,327,594,611
"ZNF34",52,23,57,59,62,44,45,79
"RPL8",23421,26618,23667,21429,33584,20061,31245,33960
"LOC110260418",86,48,24,56,19,51,173,188
"ZNF7",108,154,13,33,76,138,162,250
"COMMD5",216,251,311,172,144,297,465,646
"LOC102158405",7,1,0,0,0,1,0,0
"ZNF251",299,249,129,208,212,236,347,327
"ARHGAP39",197,135,40,79,41,112,175,250
"C4H8orf82",54,52,25,70,37,76,114,195
"LRRC24",31,70,44,20,6,26,12,17
"LRRC14",250,239,189,55,24,129,374,328
"RECQL4",71,107,14,0,84,88,78,171
"MFSD3",431,457,814,524,270,387,614,1268
"GPT",1514,1346,2390,1040,734,1186,2549,4389
"PPP1R16A",2594,2669,4032,2152,1651,2318,5312,9262
"FOXH1",55,59,19,22,53,33,0,92
"KIFC2",2649,2836,4654,1635,1203,1332,3638,5695
"LOC110255327",106,141,103,64,59,66,89,146
"LOC100152459",1046,852,987,391,331,408,1341,1330
"TONSL",482,346,142,129,149,247,410,364
"VPS28",1285,1480,1902,1265,1183,1175,2115,3285
"SLC39A4",621,494,465,362,295,454,750,937
"CPSF1",656,416,466,237,211,459,880,997
"ADCK5",641,444,619,503,295,291,676,978
"SLC52A2",339,189,277,226,77,187,605,748
"FBXL6",84,161,58,51,67,87,121,115
"TMEM249",8,31,0,47,9,10,62,7
"LOC106507406",8,0,0,0,35,8,23,0
"SCRT1",20,2,33,0,0,1,0,20
"DGAT1",1271,923,1889,651,299,717,2205,2710
"HSF1",339,203,131,73,139,167,398,527
"BOP1",446,277,496,204,173,328,513,560
"SCX",161,100,151,43,77,94,166,45
"MROH1",1202,1177,1404,993,646,902,1677,2202
"HGH1",91,105,58,35,52,152,73,162
"WDR97",480,744,597,391,171,286,916,620
"MAF1",1152,1542,1122,613,654,961,2172,2223
"SHARPIN",369,352,371,149,136,257,572,685
"LOC100525869",3272,2281,3130,2166,1345,2117,3192,5747
"GPAA1",513,889,1330,818,326,612,1367,1671
"LOC102163278",58,29,158,30,0,23,31,135
"EXOSC4",199,232,120,139,84,169,102,288
"OPLAH",152,90,25,173,57,105,92,106
"SMPD5",0,0,8,0,0,8,0,0
"SPATC1",0,0,27,0,6,1,26,0
"GRINA",606,250,511,300,84,284,868,942
"PARP10",1072,682,1038,576,364,780,1328,1639
"PLEC",7898,5002,7068,3990,3326,6739,9863,15825
"EPPK1",258,97,131,196,236,378,343,248
"NRBP2",389,292,441,247,115,232,262,585
"PUF60",1433,1623,1299,1292,795,1427,2162,2509
"SCRIB",1136,928,535,530,230,578,1027,2005
"IQANK1",37,25,20,0,0,21,0,34
"FAM83H",1702,1362,1872,914,565,1915,3493,3865
"MAPK15",125,50,283,0,37,37,145,100
"CCDC166",7,0,27,0,29,3,32,31
"ZNF623",73,90,79,46,60,45,40,155
"LOC102165528",94,222,79,182,240,132,187,243
"TSTA3",1284,1201,1292,1071,794,1148,1941,2891
"PYCR3",375,273,155,210,50,299,504,829
"TIGD5",100,136,91,100,21,109,145,243
"EEF1D",3071,3355,2781,2841,4316,3343,4038,5208
"NAPRT",1205,1888,2404,1512,529,1134,2669,2911
"MROH6",42,14,0,0,0,7,25,39
"GSDMD",601,511,538,650,309,450,732,1318
"ZC3H3",770,509,1054,490,250,488,998,1295
"MAFA",10,0,0,0,0,0,0,0
"RHPN1",24,56,3,54,0,17,31,0
"TOP1MT",75,34,79,31,46,27,66,50
"GLI4",256,294,323,138,227,232,507,799
"LOC110255235",0,0,0,0,0,0,4,0
"LOC100517712",37,37,37,33,122,74,52,118
"GPIHBP1",0,38,0,153,31,12,53,0
"LY6H",0,1,0,0,0,0,0,0
"LOC110260191",426,1693,74,5110,2410,5534,1943,1300
"LY6E",265,230,386,532,691,538,1428,1000
"LOC110260194",13,0,0,0,0,1,28,0
"LY6K",0,3,0,0,26,19,46,12
"LOC110260196",7,0,0,0,0,3,0,0
"LOC110260400",0,0,0,0,2,0,0,0
"LY6D",22,11,0,0,36,20,0,20
"LOC110260197",143,163,96,259,135,378,408,415
"LOC110260198",0,0,7,15,5,26,0,9
"THEM6",0,12,0,0,0,9,5,27
"JRK",306,368,254,64,90,255,764,447
"PSCA",0,0,40,16,10,15,51,3
"ARC",0,0,0,0,0,0,21,0
"ADGRB1",19,11,17,0,11,18,11,70
"LOC110260402",23,57,29,0,48,39,68,116
"TSNARE1",50,71,51,78,84,35,93,135
"MROH5",3,0,23,0,0,0,31,0
"PTP4A3",57,50,39,27,36,54,79,64
"GPR20",13,30,0,0,0,17,34,2
"SLC45A4",1330,933,1602,431,318,516,2175,2668
"DENND3",575,591,583,526,337,832,1083,889
"LOC110260208",0,0,0,22,0,2,8,0
"PTK2",680,634,617,381,382,544,1141,1568
"AGO2",61,73,58,14,25,116,160,71
"CHRAC1",669,602,343,678,447,717,646,999
"LOC110260210",0,0,0,0,15,2,0,0
"TRAPPC9",222,171,271,212,79,243,258,660
"LOC106507414",0,0,0,0,7,2,0,0
"LOC102165381",0,4,0,0,0,0,0,0
"LOC102165464",0,0,0,0,0,0,0,0
"COL22A1",21,6,0,0,11,19,17,10
"FAM135B",0,9,8,0,37,2,0,0
"LOC102165812",0,8,0,0,0,0,0,0
"KHDRBS3",0,5,0,0,5,14,6,44
"LOC110260215",0,0,0,0,0,0,0,0
"ZFAT",311,441,310,167,213,219,434,323
"LOC106509939",0,0,0,0,35,1,0,0
"LOC102159040",0,0,0,0,0,1,0,0
"LOC110260217",0,0,9,0,0,2,0,0
"ST3GAL1",11,41,6628,115,193,91,109,742
"NDRG1",2370,1733,1471,1690,867,2907,4315,4441
"WISP1",15,33,10,75,10,29,43,70
"TG",7,5,0,48,29,10,10,19
"SLA",48,73,40,119,44,104,111,118
"MIR9795",0,6,0,0,0,0,0,0
"PHF20L1",303,308,154,96,218,323,276,524
"TMEM71",53,26,28,74,36,54,20,25
"LRRC6",12,53,0,0,0,5,0,18
"KCNQ3",18,0,0,0,7,5,0,0
"HHLA1",0,0,0,0,14,0,0,0
